key,option,VN,CN,TH
Is Pass,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__is_pass",Đánh giá Đạt (Pass),評核通過（Pass）,การประเมินผ่าน
Result,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__result",Kết quả,結果,ผลลัพธ์
Notes,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__note",Ghi chú vi phạm (Admin),違規備註（管理員）,หมายเหตุการละเมิด (ฝ่ายบริหาร)
Remediation State,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_state",Trạng thái khắc phục,改善狀態,สถานะการฟื้นตัว
Remediation Notes,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_note",Ghi chú khắc phục (Cửa hàng),改善備註（門店）,หมายเหตุการแก้ไขปัญหา (ร้านค้า)
Evidence Image,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__evidence_image",Hình ảnh bằng chứng (Khi khảo sát),證明照片（評核時）,หลักฐานภาพถ่าย (ระหว่างการสำรวจ)
Remediation Image,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__remediation_image",Ảnh sau khắc phục,改善後照片,ภาพถ่ายหลังการปรับแต่ง
Previous Line Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_line_id",Line trước,上一次 Line,บรรทัดก่อนหน้า
Previous Result,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_result",Kết quả trước đó,上一次結果,ผลลัพธ์ก่อนหน้า
Previous Deduction Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__previous_deduction_score",Điểm trừ đợt trước,上一次扣分,ข้อเสียจากรอบที่แล้ว
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__sequence",Thứ tự,順序,คำสั่ง
Quest Code Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_code_snapshot",Mã câu hỏi,題目編號,รหัสคำถาม
Quest Content Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__quest_content_snapshot",Nội dung câu hỏi,題目內容,เนื้อหาคำถาม
Correct Answer Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__correct_answer_snapshot",Đáp án đúng,正確答案,คำตอบที่ถูกต้อง
Answer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__answer",Đáp án trả lời,作答答案,คำตอบ
Is Correct,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__is_correct",Đúng,正確,ถูกต้อง
Point,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__point",Điểm,分數,จุด
Is Locked,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_exam_line__is_locked",Khóa,鎖定,ล็อค
Checklist Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__checklist_score",Điểm checklist,Checklist 分數,คะแนนเช็คลิสต์
Exam Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__exam_score",Điểm kiểm tra,測驗分數,ด่าน
Total Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__total_score",Tổng điểm,總分,คะแนนรวม
Confirmation Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirm_date",Ngày xác nhận,確認日期,วันที่ยืนยัน
Previous Supervision Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__previous_inspection_id",Phiếu khảo sát trước,上一次監督表,แบบฟอร์มสำรวจเบื้องต้น
Survey Execution Page,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Trang thực hiện Khảo sát đánh giá,評核執行頁面,หน้าสำหรับดำเนินการสำรวจประเมินผล
Evaluation Survey,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Khảo sát đánh giá,評核,การสำรวจและการประเมินผล
Back,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Quay lại,返回,กลับมา
Completed,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đã hoàn thành,已完成,สมบูรณ์
Checklist,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Checklist,Checklist,รายการตรวจสอบ
Staff Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Kiểm tra NV,員工檢查,ตรวจสอบพนักงาน
Total Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Tổng điểm,總分,คะแนนรวม
Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Xếp loại,評等,อันดับ
Checklist Criteria,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Tiêu chí Checklist,Checklist 評核項目,เกณฑ์รายการตรวจสอบ
Staff Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Bài kiểm tra nhân viên,員工測驗,การทดสอบพนักงาน
Checklist Criteria Content,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Nội dung kiểm tra checklist,Checklist 檢查內容,เนื้อหาในรายการตรวจสอบ
Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Thông tin,資訊,ข้อมูล
Evaluation,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đánh giá,評核,ประเมิน
Critical Criterion / Disqualification,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Tiêu chí quan trọng / Điểm liệt,重要項目／致命扣分項目,เกณฑ์สำคัญ / คะแนนสอบตก
"View Previous Round, Add Notes & Photos","model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page","Xem đợt trước, nhập ghi chú & tải ảnh","查看上一次評核,輸入備註並上傳照片",ดูชุดข้อมูลก่อนหน้า เพิ่มบันทึก และอัปโหลดรูปภาพ
Previous Round: Pass,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đợt trước: Đạt,上一次：合格,รอบที่แล้ว: ผ่านแล้ว
Pass,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đạt,合格,รับ
Previous Round: Fail,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đợt trước: Không đạt,上一次：不合格,รอบที่แล้ว: ล้มเหลว
Fail,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",K.Đạt,不合格,เค. ดัต
Has Notes,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Có ghi chú,有備註,มีบันทึกอยู่
Has Photos,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Có ảnh,有照片,มีรูปภาพ
Examined Staff Information,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Thông tin Nhân viên làm bài kiểm tra,測驗員工資訊,ข้อมูลเกี่ยวกับบุคลากรที่เข้ารับการทดสอบ
Exam submitted & locked,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Bài kiểm tra đã nộp & đã khóa,測驗已提交並鎖定,แบบทดสอบได้รับการส่งแล้วและถูกล็อกเรียบร้อยแล้ว
Tested Employee,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Nhân viên được kiểm tra,受檢員工,พนักงานคนดังกล่าวถูกตรวจสอบแล้ว
Staff full name...,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Họ và tên nhân viên...,員工姓名...,ชื่อ-นามสกุลเต็มของพนักงาน...
Tenure,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Thâm niên,年資,ความอาวุโส
"Tenure (e.g. 0.5, 1, 2)...","model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page","Thâm niên (ví dụ: 0.5, 1, 2)...","年資（例如：0.5, 1,2)...","ระดับอาวุโส (เช่น 0.5, 1, 2)..."
Enter staff answers here...,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Nhập đáp án trả lời của nhân viên tại đây...,請在此輸入員工作答答案...,กรุณาป้อนคำตอบของพนักงานที่นี่...
This inspection sheet has no staff exam.,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Phiếu khảo sát này không có bài kiểm tra nhân viên.,此評核表沒有員工測驗。,แบบสำรวจนี้ไม่ได้รวมการทดสอบพนักงานไว้ด้วย
Click on the Previous Round badge to view past inspection info.,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Bấm vào nhãn Đợt trước để xem thông tin khảo sát kỳ trước.,點擊「上一次」標籤以查看前次評核資訊。,"คลิกที่ป้ายกำกับ ""แบบสำรวจก่อนหน้า"" เพื่อดูข้อมูลจากแบบสำรวจครั้งก่อน"
Save,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Lưu,儲存,บันทึก
Survey is completed,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Phiếu khảo sát đã hoàn tất,評核表已完成,แบบสอบถามเสร็จสมบูรณ์แล้ว
Criterion Details,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Chi tiết tiêu chí,評核項目詳細內容,รายละเอียดเกณฑ์
Previous Inspection Round,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đợt khảo sát trước,上一次評核,การสำรวจครั้งก่อน
Inspector:,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Người kiểm tra:,檢查人員：,ผู้ตรวจสอบ:
Previous Notes:,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Ghi chú trước:,上次備註：,หมายเหตุล่วงหน้า:
Violation Notes,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Ghi chú vi phạm,違規備註,หมายเหตุการละเมิด
Enter violation notes if any...,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Nhập ghi chú vi phạm nếu có...,輸入違規備註（如有）...,โปรดระบุหมายเหตุเกี่ยวกับการละเมิดใดๆ หากมี...
Evidence Photos,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Bằng chứng vi phạm (Hình ảnh),違規證明（照片）,หลักฐานการละเมิด (รูปภาพ)
Capture / Upload Photo,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Chụp / Tải ảnh,拍照／上傳照片,ถ่าย/อัปโหลดรูปภาพ
Click to change photo,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Bấm để đổi ảnh,點擊更換照片,คลิกเพื่อเปลี่ยนรูปภาพ
Photo attached,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đã có ảnh,已有照片,รูปภาพพร้อมให้ดาวน์โหลดแล้ว
Evaluate this criterion:,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đánh giá tiêu chí này:,評核此項目：,ประเมินเกณฑ์นี้:
Pass,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đạt,合格,รับ
Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Hoàn tất,完成,สมบูรณ์
Notification,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Thông báo,通知,การแจ้งเตือน
Please enter the Tested Employee!,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Vui lòng nhập Nhân viên được kiểm tra!,請輸入受檢員工！,กรุณาระบุชื่อพนักงานที่กำลังได้รับการตรวจสอบ!
Got it,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đã hiểu,了解,เข้าใจแล้ว
Previous Inspection Details,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Chi tiết Đợt khảo sát trước,上一次監督詳細內容,รายละเอียดของการสำรวจครั้งก่อน
Previous Supervision Sheet,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Phiếu khảo sát đợt trước,上一次監督表,แบบฟอร์มสำรวจก่อนหน้า
Execution Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Ngày thực hiện,執行日期,วันที่ดำเนินการ
Inspector,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Người kiểm tra,檢查人員,ผู้ตรวจสอบ
Previous Evaluation,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Đánh giá kỳ trước,上一次評核結果,รีวิวก่อนหน้า
Previous Violation Notes,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Ghi chú vi phạm kỳ trước,上一次違規備註,หมายเหตุการละเมิดก่อนหน้านี้
Previous Evidence Photos,"model_terms:ir.ui.view,arch_db:wujia_franchise.inspection_survey_do_page",Ảnh bằng chứng kỳ trước,上一次違規證明照片,หลักฐานภาพถ่ายก่อนหน้านี้
Reports,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Báo cáo,報告,รายงาน
Revenue Detail Report,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Báo cáo chi tiết doanh thu,營業額詳細報告,รายงานรายได้โดยละเอียด
Report Line Ids,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__report_line_ids",Dòng báo cáo,報告明細,รายงานสตรีม
Line,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_report_line",Từng dòng báo cáo tài chính trong 3 tháng,加盟門店近3個月財務報告明細,แต่ละบรรทัดในรายงานทางการเงินครอบคลุมระยะเวลาสามเดือน
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__sequence",Thứ tự,順序,คำสั่ง
Date Month,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__date_month",Tháng (MM/YYYY),月份 (MM/YYYY),เดือน (วว/ปปปป)
Days Of Month,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__days_of_month",Số ngày trong tháng,當月天數,จำนวนวันในหนึ่งเดือน
Revenue,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__revenue",Doanh thu,營業額,รายได้
Revenue Avg,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__revenue_avg",Doanh thu / ngày,日均營業額,รายได้ต่อวัน
Total App Sale,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__total_app_sale",Tổng giao dịch qua app,App 訂單筆數,ยอดรวมธุรกรรมผ่านแอป
Percent App Sale,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__percent_app_sale",% giao dịch qua app,App 訂單佔比(%),ร้อยละของธุรกรรมทั้งหมดดำเนินการผ่านแอปพลิเคชัน
Supervision Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_report_line__inspection_id",Phiếu khảo sát,監督表,แบบฟอร์มสำรวจ
Confirmed User Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirmed_user_id",Người xác nhận,確認者,ผู้ยืนยัน
Confirmed Member Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirmed_member_id",Quản lý cửa hàng xác nhận,門店管理者確認,ผู้จัดการร้านยืนยันแล้ว
Supervision Score History (Last 10 Rounds),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Lịch sử điểm số giám sát (10 đợt gần nhất),評核分數歷史紀錄（近10次）,ประวัติคะแนนการติดตาม (10 ช่วงเวลาล่าสุด)
Score per Round,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Điểm từng đợt,各次評核分數,คะแนนต่อช่วงเวลา
Average Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Điểm trung bình,平均分數,คะแนนเฉลี่ย
No Historical Data Yet!,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Chưa có dữ liệu lịch sử!,暫無歷史數據！,ไม่มีข้อมูลทางประวัติศาสตร์!
Please select a Supervision Template or this store has no completed/remediation inspection sheets yet.,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Vui lòng chọn Mẫu khảo sát hoặc cửa hàng này chưa có phiếu giám sát nào theo mẫu này ở trạng thái Hoàn thành / Cần khắc phục.,"請選擇評核範本,或此門店目前尚無此範本已完成／待改善之監督表記錄。",โปรดเลือกเทมเพลตแบบสำรวจ หรือหากไม่พบแบบฟอร์มการติดตามใดๆ ที่ใช้เทมเพลตนี้ในสถานะ เสร็จสมบูรณ์ / ต้องแก้ไข
"Note: Please click ""Start Inspection"" on the header to start the inspection and take the exam!","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","Lưu ý: Vui lòng bấm ""Bắt đầu thực hiện"" ở trên header để bắt đầu khảo sát và làm bài kiểm tra!",注意：請點擊頂部「開始執行」以開始評核與測驗！,"หมายเหตุ: โปรดคลิก ""เริ่มดำเนินการ"" ที่ส่วนหัวเพื่อเริ่มการสำรวจและทำแบบทดสอบ!"
"Instructions: Employees enter answers into the ""Answer"" box below each question. After completion, click ""Submit Exam"" to grade.","model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form","Hướng dẫn: Nhân viên nhập câu trả lời vào ô ""Đáp án trả lời"" bên dưới mỗi câu hỏi. Sau khi hoàn thành, bấm ""Nộp bài kiểm tra"" để chấm điểm.",說明：員工在各題目下方的「作答」欄填寫答案。完成後點擊「提交測驗」進行評分。,"คำแนะนำ: พนักงานกรอกคำตอบลงในช่อง ""คำตอบ"" ใต้แต่ละคำถาม เมื่อเสร็จแล้วคลิก ""ส่งแบบทดสอบ"" เพื่อตรวจให้คะแนน"
Exam Submitted! Answers have been locked. Scoring result:,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đã nộp bài kiểm tra! Bài làm đã được khóa. Kết quả chấm điểm:,測驗已提交！作答已鎖定。評分結果：,ส่งแบบทดสอบแล้ว! ล็อกการทำแบบทดสอบแล้ว ผลคะแนน:
points,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",điểm,分,คะแนน
